mandala_sukta_rik	ashtaka_adhyaya_varga_rik	mandala_anuvaka_rik
01.015.12	1.1.29.06	01.04.048
01.016.01	1.1.30.01	01.04.049
01.016.02	1.1.30.02	01.04.050
01.016.03	1.1.30.03	01.04.051
01.016.04	1.1.30.04	01.04.052
01.016.05	1.1.30.05	01.04.053
01.016.06	1.1.31.01	01.04.054
01.016.07	1.1.31.02	01.04.055
01.016.08	1.1.31.03	01.04.056
01.016.09	1.1.31.04	01.04.057
01.017.01	1.1.32.01	01.04.058
01.017.02	1.1.32.02	01.04.059
01.017.03	1.1.32.03	01.04.060
01.017.04	1.1.32.04	01.04.061
01.017.05	1.1.32.05	01.04.062
01.017.06	1.1.33.01	01.04.063
01.017.07	1.1.33.02	01.04.064
01.017.08	1.1.33.03	01.04.065
01.017.09	1.1.33.04	01.04.066
01.018.01	1.1.34.01	01.05.001
01.018.02	1.1.34.02	01.05.002
01.018.03	1.1.34.03	01.05.003
01.018.04	1.1.34.04	01.05.004
01.018.05	1.1.34.05	01.05.005
01.018.06	1.1.35.01	01.05.006
01.018.07	1.1.35.02	01.05.007
01.018.08	1.1.35.03	01.05.008
01.018.09	1.1.35.04	01.05.009
01.019.01	1.1.36.01	01.05.010
01.019.02	1.1.36.02	01.05.011
01.019.03	1.1.36.03	01.05.012
01.019.04	1.1.36.04	01.05.013
01.019.05	1.1.36.05	01.05.014
01.019.06	1.1.37.01	01.05.015
01.019.07	1.1.37.02	01.05.016
01.019.08	1.1.37.03	01.05.017
01.019.09	1.1.37.04	01.05.018
01.020.01	1.2.01.01	01.05.019
01.020.02	1.2.01.02	01.05.020
01.020.03	1.2.01.03	01.05.021
01.020.04	1.2.01.04	01.05.022
01.020.05	1.2.01.05	01.05.023
01.020.06	1.2.02.01	01.05.024
01.020.07	1.2.02.02	01.05.025
01.020.08	1.2.02.03	01.05.026
01.021.01	1.2.03.01	01.05.027
01.021.02	1.2.03.02	01.05.028
01.021.03	1.2.03.03	01.05.029
01.021.04	1.2.03.04	01.05.030
01.021.05	1.2.03.05	01.05.031
01.021.06	1.2.03.06	01.05.032
01.022.01	1.2.04.01	01.05.033
01.022.02	1.2.04.02	01.05.034
01.022.03	1.2.04.03	01.05.035
01.022.04	1.2.04.04	01.05.036
01.022.05	1.2.04.05	01.05.037
01.022.06	1.2.05.01	01.05.038
01.022.07	1.2.05.02	01.05.039
01.022.08	1.2.05.03	01.05.040
01.022.09	1.2.05.04	01.05.041
01.022.10	1.2.05.05	01.05.042
01.022.11	1.2.06.01	01.05.043
01.022.12	1.2.06.02	01.05.044
01.022.13	1.2.06.03	01.05.045
01.022.14	1.2.06.04	01.05.046
01.022.15	1.2.06.05	01.05.047
01.022.16	1.2.07.01	01.05.048
01.022.17	1.2.07.02	01.05.049
01.022.18	1.2.07.03	01.05.050
01.022.19	1.2.07.04	01.05.051
01.022.20	1.2.07.05	01.05.052
01.022.21	1.2.07.06	01.05.053
01.023.01	1.2.08.01	01.05.054
01.023.02	1.2.08.02	01.05.055
01.023.03	1.2.08.03	01.05.056
01.023.04	1.2.08.04	01.05.057
01.023.05	1.2.08.05	01.05.058
01.023.06	1.2.09.01	01.05.059
01.023.07	1.2.09.02	01.05.060
01.023.08	1.2.09.03	01.05.061
01.023.09	1.2.09.04	01.05.062
01.023.10	1.2.09.05	01.05.063
01.023.11	1.2.10.01	01.05.064
01.023.12	1.2.10.02	01.05.065
01.023.13	1.2.10.03	01.05.066
01.023.14	1.2.10.04	01.05.067
01.023.15	1.2.10.05	01.05.068
01.023.16	1.2.11.01	01.05.069
01.023.17	1.2.11.02	01.05.070
01.023.18	1.2.11.03	01.05.071
01.023.19	1.2.11.04	01.05.072
01.023.20	1.2.11.05	01.05.073
01.023.21	1.2.12.01	01.05.074
01.023.22	1.2.12.02	01.05.075
01.023.23	1.2.12.03	01.05.076
01.023.24	1.2.12.04	01.05.077
01.024.01	1.2.13.01	01.06.001
01.024.02	1.2.13.02	01.06.002
01.024.03	1.2.13.03	01.06.003
01.024.04	1.2.13.04	01.06.004
01.024.05	1.2.13.05	01.06.005
01.024.06	1.2.14.01	01.06.006
01.024.07	1.2.14.02	01.06.007
01.024.08	1.2.14.03	01.06.008
01.024.09	1.2.14.04	01.06.009
01.024.10	1.2.14.05	01.06.010
01.024.11	1.2.15.01	01.06.011
01.024.12	1.2.15.02	01.06.012
01.024.13	1.2.15.03	01.06.013
01.024.14	1.2.15.04	01.06.014
01.024.15	1.2.15.05	01.06.015
01.025.01	1.2.16.01	01.06.016
01.025.02	1.2.16.02	01.06.017
01.025.03	1.2.16.03	01.06.018
01.025.04	1.2.16.04	01.06.019
01.025.05	1.2.16.05	01.06.020
01.025.06	1.2.17.01	01.06.021
01.025.07	1.2.17.02	01.06.022
01.025.08	1.2.17.03	01.06.023
01.025.09	1.2.17.04	01.06.024
01.025.10	1.2.17.05	01.06.025
01.025.11	1.2.18.01	01.06.026
01.025.12	1.2.18.02	01.06.027
01.025.13	1.2.18.03	01.06.028
01.025.14	1.2.18.04	01.06.029
01.025.15	1.2.18.05	01.06.030
01.025.16	1.2.19.01	01.06.031
01.025.17	1.2.19.02	01.06.032
01.025.18	1.2.19.03	01.06.033
01.025.19	1.2.19.04	01.06.034
01.025.20	1.2.19.05	01.06.035
01.025.21	1.2.19.06	01.06.036
01.026.01	1.2.20.01	01.06.037
01.026.02	1.2.20.02	01.06.038
01.026.03	1.2.20.03	01.06.039
01.026.04	1.2.20.04	01.06.040
01.026.05	1.2.20.05	01.06.041
01.026.06	1.2.21.01	01.06.042
01.026.07	1.2.21.02	01.06.043
01.026.08	1.2.21.03	01.06.044
01.026.09	1.2.21.04	01.06.045
01.026.10	1.2.21.05	01.06.046
01.027.01	1.2.22.01	01.06.047
01.027.02	1.2.22.02	01.06.048
01.027.03	1.2.22.03	01.06.049
01.027.04	1.2.22.04	01.06.050
01.027.05	1.2.22.05	01.06.051
01.027.06	1.2.23.01	01.06.052
01.027.07	1.2.23.02	01.06.053
01.027.08	1.2.23.03	01.06.054
01.027.09	1.2.23.04	01.06.055
01.027.10	1.2.23.05	01.06.056
01.027.11	1.2.24.01	01.06.057
01.027.12	1.2.24.02	01.06.058
01.027.13	1.2.24.03	01.06.059
01.028.01	1.2.25.01	01.06.060
01.028.02	1.2.25.02	01.06.061
01.028.03	1.2.25.03	01.06.062
01.028.04	1.2.25.04	01.06.063
01.028.05	1.2.25.05	01.06.064
01.028.06	1.2.26.01	01.06.065
01.028.07	1.2.26.02	01.06.066
01.028.08	1.2.26.03	01.06.067
01.028.09	1.2.26.04	01.06.068
01.029.01	1.2.27.01	01.06.069
01.029.02	1.2.27.02	01.06.070
01.029.03	1.2.27.03	01.06.071
01.029.04	1.2.27.04	01.06.072
01.029.05	1.2.27.05	01.06.073
01.029.06	1.2.27.06	01.06.074
01.029.07	1.2.27.07	01.06.075
01.030.01	1.2.28.01	01.06.076
01.030.02	1.2.28.02	01.06.077
01.030.03	1.2.28.03	01.06.078
01.030.04	1.2.28.04	01.06.079
01.030.05	1.2.28.05	01.06.080
01.030.06	1.2.29.01	01.06.081
01.030.07	1.2.29.02	01.06.082
01.030.08	1.2.29.03	01.06.083
01.030.09	1.2.29.04	01.06.084
01.030.10	1.2.29.05	01.06.085
01.030.11	1.2.30.01	01.06.086
01.030.12	1.2.30.02	01.06.087
01.030.13	1.2.30.03	01.06.088
01.030.14	1.2.30.04	01.06.089
01.030.15	1.2.30.05	01.06.090
01.030.16	1.2.31.01	01.06.091
01.030.17	1.2.31.02	01.06.092
01.030.18	1.2.31.03	01.06.093
01.030.19	1.2.31.04	01.06.094
01.030.20	1.2.31.05	01.06.095
01.030.21	1.2.31.06	01.06.096
01.030.22	1.2.31.07	01.06.097
01.031.01	1.2.32.01	01.07.001
01.031.02	1.2.32.02	01.07.002
01.031.03	1.2.32.03	01.07.003
01.031.04	1.2.32.04	01.07.004
01.031.05	1.2.32.05	01.07.005
01.031.06	1.2.33.01	01.07.006
01.031.07	1.2.33.02	01.07.007
01.031.08	1.2.33.03	01.07.008
01.031.09	1.2.33.04	01.07.009
01.031.10	1.2.33.05	01.07.010
01.031.11	1.2.34.01	01.07.011
01.031.12	1.2.34.02	01.07.012
01.031.13	1.2.34.03	01.07.013
01.031.14	1.2.34.04	01.07.014
01.031.15	1.2.34.05	01.07.015
01.031.16	1.2.35.01	01.07.016
01.031.17	1.2.35.02	01.07.017
01.031.18	1.2.35.03	01.07.018
01.032.01	1.2.36.01	01.07.019
01.032.02	1.2.36.02	01.07.020
01.032.03	1.2.36.03	01.07.021
01.032.04	1.2.36.04	01.07.022
01.032.05	1.2.36.05	01.07.023
01.032.06	1.2.37.01	01.07.024
01.032.07	1.2.37.02	01.07.025
01.032.08	1.2.37.03	01.07.026
01.032.09	1.2.37.04	01.07.027
01.032.10	1.2.37.05	01.07.028
01.032.11	1.2.38.01	01.07.029
01.032.12	1.2.38.02	01.07.030
01.032.13	1.2.38.03	01.07.031
01.032.14	1.2.38.04	01.07.032
01.032.15	1.2.38.05	01.07.033
01.033.01	1.3.01.01	01.07.034
01.033.02	1.3.01.02	01.07.035
01.033.03	1.3.01.03	01.07.036
01.033.04	1.3.01.04	01.07.037
01.033.05	1.3.01.05	01.07.038
01.033.06	1.3.02.01	01.07.039
01.033.07	1.3.02.02	01.07.040
01.033.08	1.3.02.03	01.07.041
01.033.09	1.3.02.04	01.07.042
01.033.10	1.3.02.05	01.07.043
01.033.11	1.3.03.01	01.07.044
01.033.12	1.3.03.02	01.07.045
01.033.13	1.3.03.03	01.07.046
01.033.14	1.3.03.04	01.07.047
01.033.15	1.3.03.05	01.07.048
01.034.01	1.3.04.01	01.07.049
01.034.02	1.3.04.02	01.07.050
01.034.03	1.3.04.03	01.07.051
01.034.04	1.3.04.04	01.07.052
01.034.05	1.3.04.05	01.07.053
01.034.06	1.3.04.06	01.07.054
01.034.07	1.3.05.01	01.07.055
01.034.08	1.3.05.02	01.07.056
01.034.09	1.3.05.03	01.07.057
01.034.10	1.3.05.04	01.07.058
01.034.11	1.3.05.05	01.07.059
