hymn.verses.seer.divinity.meter
1.9.vaiśvāmitro madhucchandāḥ.agniḥ.gāyatrī
65.10.śāktyaḥ parāśaraḥ.agniḥ.virāṭ
66.10.śāktyaḥ parāśaraḥ.agniḥ.virāṭ
67.10.śāktyaḥ parāśaraḥ.agniḥ.virāṭ
68.10.śāktyaḥ parāśaraḥ.agniḥ.virāṭ
69.10.śāktyaḥ parāśaraḥ.agniḥ.virāṭ
70.11.śāktyaḥ parāśaraḥ.agniḥ.virāṭ
71.10.śāktyaḥ parāśaraḥ.agniḥ.triṣṭup
72.10.śāktyaḥ parāśaraḥ.agniḥ.triṣṭup
73.10.śāktyaḥ parāśaraḥ.agniḥ.triṣṭup
74.9.rāhūgaṇo gotamaḥ.agniḥ.gāyatrī
75.5.rāhūgaṇo gotamaḥ.agniḥ.gāyatrī
76.5.rāhūgaṇo gotamaḥ.agniḥ.triṣṭup
77.5.rāhūgaṇo gotamaḥ.agniḥ.triṣṭup
78.5.rāhūgaṇo gotamaḥ.agniḥ.gāyatrī
79.12.rāhūgaṇo gotamaḥ.agniḥ.(1-3)triṣṭup,(4-6)uṣṇik,(7-12)gāyatrī
80.16.rāhūgaṇo gotamaḥ.indraḥ.paṅktiḥ
81.9.rāhūgaṇo gotamaḥ.indraḥ.paṅktiḥ
82.6.rāhūgaṇo gotamaḥ.indraḥ.(1-5)paṅktiḥ,(6)jagatī
83.6.rāhūgaṇo gotamaḥ.indraḥ.jagatī
84.20.rāhūgaṇo gotamaḥ.indraḥ.(1-6)anuṣṭup,(7-9)uṣṇik,(10-12)paṅktiḥ,(13-15)gāyatrī,(16-18)triṣṭup,(19-20)bṛhatī
85.12.rāhūgaṇo gotamaḥ.marutaḥ.(1-4,6-11)jagatī,(5,12)triṣṭup
86.10.rāhūgaṇo gotamaḥ.marutaḥ.gāyatrī
87.6.rāhūgaṇo gotamaḥ.marutaḥ.jagatī
88.6.rāhūgaṇo gotamaḥ.marutaḥ.(1,6)paṅktiḥ,(2-4)triṣṭup,(5)virāṭ
89.10.rāhūgaṇo gotamaḥ.viśvedevāḥ.(1-5,7)jagatī,(6)virāṭ,(8-10)triṣṭup
90.9.rāhūgaṇo gotamaḥ.viśvedevāḥ.(1-8)gāyatrī,(9)anuṣṭup
91.23.rāhūgaṇo gotamaḥ.somaḥ.(1-4,18-23)triṣṭup,(5-16)gāyatrī,(17)uṣṇik
92.18.rāhūgaṇo gotamaḥ.(1-15)uṣāḥ,(16-18)aśvinau.(1-4)jagatī,(5-12)triṣṭup,(13-18)uṣṇik
93.12.rāhūgaṇo gotamaḥ.agnīṣomau.(1-3)anuṣṭup,(4-7,12)triṣṭup,(8)jagatī,(9-11)gāyatrī
94.16.āṅgirasaḥ kutsaḥ.agniḥ.(1-14)jagatī,(15-16)triṣṭup
95.11.āṅgirasaḥ kutsaḥ.agniḥ.triṣṭup
96.9.āṅgirasaḥ kutsaḥ.agniḥ.triṣṭup
97.8.āṅgirasaḥ kutsaḥ.agniḥ.gāyatrī
98.3.āṅgirasaḥ kutsaḥ.agniḥ.triṣṭup
99.1.mārīcaḥ kaśyapaḥ.agniḥ.triṣṭup
100.19.vārṣāgirāḥ ṛjrāśvaḥ-ambarīṣaḥ-sahadevaḥ-bhayamānaḥ-surādhasaḥ.indraḥ.triṣṭup
101.11.āṅgirasaḥ kutsaḥ.indraḥ.(1-7)jagatī,(8-11)triṣṭup
102.11.āṅgirasaḥ kutsaḥ.indraḥ.(1-10)jagatī,(11)triṣṭup
103.8.āṅgirasaḥ kutsaḥ.indraḥ.triṣṭup
104.9.āṅgirasaḥ kutsaḥ.indraḥ.triṣṭup
105.19.āṅgirasaḥ kutsaḥ.viśvedevāḥ.(1-7,9-18)paṅktiḥ,(8)bṛhatī,(19)triṣṭup
106.7.āṅgirasaḥ kutsaḥ.viśvedevāḥ.(1-6)jagatī,(7)triṣṭup
107.3.āṅgirasaḥ kutsaḥ.viśvedevāḥ.triṣṭup
108.13.āṅgirasaḥ kutsaḥ.indrāgnī.triṣṭup
109.8.āṅgirasaḥ kutsaḥ.indrāgnī.triṣṭup
110.9.āṅgirasaḥ kutsaḥ.ṛbhavaḥ.(1-4,6-8)jagatī,(5,9)triṣṭup
111.5.āṅgirasaḥ kutsaḥ.ṛbhavaḥ.(1-4)jagatī,(5)triṣṭup
112.25.āṅgirasaḥ kutsaḥ.aśvinau.(1-23)jagatī,(24-25)triṣṭup
113.20.āṅgirasaḥ kutsaḥ.uṣāḥ.triṣṭup
114.11.āṅgirasaḥ kutsaḥ.rudraḥ.(1-9)jagatī,(10-11)triṣṭup
115.6.āṅgirasaḥ kutsaḥ.sūryaḥ.triṣṭup
116.25.auśijo dairghatamasaḥ kakṣīvān.aśvinau.triṣṭup
117.25.auśijo dairghatamasaḥ kakṣīvān.aśvinau.triṣṭup
118.11.auśijo dairghatamasaḥ kakṣīvān.aśvinau.triṣṭup
119.10.auśijo dairghatamasaḥ kakṣīvān.aśvinau.jagatī
120.12.auśijo dairghatamasaḥ kakṣīvān.aśvinau.(1,10-12)gāyatrī,(2)kakup,(4)naṣṭarūpī,(5)tanuśirā,(6)uṣṇik,(7)bṛhatī,(8)kṛtiḥ,(3,9)virāṭ
121.15.auśijo dairghatamasaḥ kakṣīvān.indraḥ.triṣṭup
122.15.auśijo dairghatamasaḥ kakṣīvān.viśvedevāḥ.(1-4,7-15)triṣṭup,(5-6)virāṭ
123.13.auśijo dairghatamasaḥ kakṣīvān.uṣāḥ.triṣṭup
124.13.auśijo dairghatamasaḥ kakṣīvān.uṣāḥ.triṣṭup
125.7.auśijo dairghatamasaḥ kakṣīvān.svanayamya dānastutiḥ.(1-3,6-7)triṣṭup,(4-5)jagatī
126.7.(1-5)auśijo dairghatamasaḥ kakṣīvān,(6)svanayo bhāvayavyaḥ,(7)romaśā.(1-5,7)svanayo bhāvayavyaḥ,(6)romaśā.(1-5)triṣṭup,(6,7)anuṣṭup
127.11.daivaodāsiḥ parucchepaḥ.agniḥ.(1-5,7-11)atyaṣṭiḥ,(6)ādhṛtiḥ
128.8.daivaodāsiḥ parucchepaḥ.agniḥ.atyaṣṭiḥ
129.11.daivaodāsiḥ parucchepaḥ.indraḥ.(1-7,10)atyaṣṭiḥ,(8-9)atiśakvarī,(11)aṣṭiḥ
130.10.daivaodāsiḥ parucchepaḥ.indraḥ.(1-9)atyaṣṭiḥ,(10)triṣṭup
131.7.daivaodāsiḥ parucchepaḥ.indraḥ.atyaṣṭiḥ
132.6.daivaodāsiḥ parucchepaḥ.indraḥ.atyaṣṭiḥ
